name	place	lat	lon
@UchoaYI	Novo Gama, Microrregião do Entorno de Brasília, Região Integrada de Desenvolvimento do Distrito Federal e Entorno, Mesorregião Leste Goiano, GO, Região Centro-Oeste, 72860549, Brasil	-16.0504416	-48.0311964
@undefined_truth	California, USA	36.7014631	-118.7559974
@utsavdavda07	New Delhi, Delhi, India	28.6141793	77.2022662
@vairik	Hell, Stjørdal, Trøndelag, 7502, Norge	63.445531	10.9032872
@Versec_Kami	España	39.3262345	-4.8380649
@victorymonk	Wish You Were Here, High Street, St. Neots, St Neots, Cambridgeshire, East of England, England, PE19 1JA, UK	52.228106	-0.2677554
@VoidFriction	Alaska, USA	64.4459613	-149.680909
@VulpesInkulta	Санкт-Петербург, Центральный район, Санкт-Петербург, Северо-Западный федеральный округ, 190000, РФ	59.938732	30.316229
@whitneyd	LA, Los Angeles County, California, USA	34.0536834	-118.2427669
@WilltheMgkAsian	Petaluma, Sonoma County, California, USA	38.270022	-122.606122413043
@wrath93	London, Greater London, England, SW1A 2DU, UK	51.5073219	-0.1276474
@wrythink	Alberta, Canada	55.001251	-115.002136
@WutenTagClan	Zug, Schweiz/Suisse/Svizzera/Svizra	47.1679898	8.5173652
@Xandor22	Oklahoma, USA	34.9550817	-97.2684063
@xlevix10	937, Westfield Road, Lockheed Martin Maritime Systems and Sensors, Moorestown Township, Burlington County, New Jersey, 08057, USA	39.9917962702453	-74.9423009853537
@Xyphorium	Danmark	55.670249	10.3333283
@Yangjo1234	ישראל	30.8760272	35.0015196
@YangTerrence	San Francisco, Rue Évangéline, Granby, La Haute-Yamaska, Montérégie, Québec, J2G 2Z5, Canada	45.4149778	-72.749396
@yoloslavia	Seward County, Kansas, USA	37.1850331	-100.8928434
@Yoongasm	Canada	61.0666922	-107.9917071
@YouHurtMyFeels	United States of America	51.75693885	178.105906552159
@zandadafu	NYC, New York, USA	40.7308619	-73.9871558
@ZanderHudson28	Espoo, Helsingin seutukunta, Uusimaa, Etelä-Suomi, Manner-Suomi, Suomi	60.2241869	24.6603626
@Zlatty	San Francisco, Rue Évangéline, Granby, La Haute-Yamaska, Montérégie, Québec, J2G 2Z5, Canada	45.4149778	-72.749396
